PC	p.value	variance
PC2	2.18176653461946e-12	2.05
PC4	6.31361987854472e-12	0.63
PC16	4.08692489301172e-09	0.08
PC10	1.7630406642961e-07	0.12
PC12	3.40244091935499e-07	0.1
PC3	0.000528656154733055	1.11
PC8	0.00102046820353597	0.15
PC6	0.00413124031115123	0.38
PC24	0.0680066730057247	0.08
PC41	0.628023419007803	0.07
PC11	0.640358301245751	0.11
PC13	0.708519622745918	0.09
PC1	1	51.37
PC100	1	0.06
PC1000	1	0.02
PC1001	1	0.02
PC1002	1	0.02
PC1003	1	0.02
PC1004	1	0.02
PC1005	1	0.02
PC1006	1	0.02
PC1007	1	0.02
PC1008	1	0.02
PC1009	1	0.02
PC101	1	0.06
