PC	p.value	variance
PC16	1.74673975762281e-09	0.08
PC12	1.69377010168991e-08	0.1
PC13	2.19407906766853e-08	0.09
PC15	0.000825240940340784	0.09
PC25	0.00186157487603052	0.08
PC4	0.00352243829860776	0.63
PC10	0.00531580292576341	0.12
PC17	0.0195113948702181	0.08
PC9	0.0884182353883393	0.12
PC11	0.25687644577657	0.11
PC18	0.55785602424584	0.08
PC29	0.7212887208478	0.07
PC1	1	51.37
PC100	1	0.06
PC1000	1	0.02
PC1001	1	0.02
PC1002	1	0.02
PC1003	1	0.02
PC1004	1	0.02
PC1005	1	0.02
PC1006	1	0.02
PC1007	1	0.02
PC1008	1	0.02
PC1009	1	0.02
PC101	1	0.06
