EV	p.value	variance
V1	8.92989146754339e-95	9.68
V8	9.67786265973822e-66	0.9
V3	1.30327017254154e-22	2.47
V4	1.16240872390047e-16	2.14
V15	2.10392132893557e-13	0.42
V6	4.24103126725403e-12	1.17
V19	6.94347199783936e-08	0.35
V36	1.80978082283858e-06	0.22
V9	3.02716444084031e-05	0.78
V7	7.86843963787458e-05	1.03
V28	0.000214929497738325	0.26
V33	0.00137103969498697	0.23
V2	0.0224268265508488	4.28
V41	0.047017541002469	0.2
V26	0.29389300206121	0.27
V24	0.451934945738119	0.28
V14	0.581983503516878	0.44
V13277	0.772640763109782	0
V10	1	0.63
V100	1	0.1
V1000	1	0.02
V10000	1	0
V10001	1	0
V10002	1	0
V10003	1	0
