EV	p.value	variance
V1	9.9800137480325e-134	9.68
V3	9.67780650029028e-45	2.47
V6	7.13053086138555e-33	1.17
V4	1.8919771073144e-32	2.14
V11	4.92372838664145e-25	0.55
V14	8.14445777718545e-24	0.44
V8	5.70941145333677e-22	0.9
V9	2.45957064402603e-20	0.78
V13	4.847502664156e-16	0.47
V15	8.13613503504398e-10	0.42
V2	1.86680678773977e-09	4.28
V26	2.76227360301992e-06	0.27
V16	8.93630328292037e-06	0.4
V5	0.000107404620844832	1.35
V38	0.015273357608547	0.21
V15956	0.0226252577401471	0
V10	0.15258034569833	0.63
V238	0.324393681433535	0.06
V2351	0.456514379031057	0.01
V24	0.507957848659484	0.28
V46	0.796240727854455	0.18
V100	1	0.1
V1000	1	0.02
V10000	1	0
V10001	1	0
