EV	p.value	variance
V1	1.39797000842201e-84	9.68
V6	1.75041874454147e-43	1.17
V3	6.64037222281765e-39	2.47
V4	1.07672922354215e-37	2.14
V9	3.93791748911308e-25	0.78
V14	3.10130083810633e-19	0.44
V8	2.17556056439683e-18	0.9
V11	5.5528304493644e-17	0.55
V15956	2.39209903292744e-13	0
V15	5.21489057628888e-08	0.42
V38	4.69037700919078e-05	0.21
V16	0.000224548813726318	0.4
V15957	0.00552803520997548	0
V127	0.1649519415634	0.09
V13	0.344788497509277	0.47
V718	0.427020253180086	0.02
V1153	0.464169375739627	0.01
V10	1	0.63
V100	1	0.1
V1000	1	0.02
V10000	1	0
V10001	1	0
V10002	1	0
V10003	1	0
V10004	1	0
