EV	p.value	variance
V1	1.08526720896363e-12	4.32
V4	3.08421098191392e-10	1.25
V9	3.43795720005683e-07	0.24
V3	7.72158274324358e-06	2.04
V17	1.64258747626744e-05	0.16
V11	3.78767506428773e-05	0.21
V8	7.15467179507257e-05	0.25
V15	0.000354149139888658	0.17
V16	0.000375584867620654	0.17
V14	0.00680331140291435	0.18
V7	0.0141720886302311	0.33
V19	0.0272982876364662	0.16
V5	0.166351232981574	0.79
V24	0.469264665742612	0.15
V37	0.989369321908388	0.15
V10	1	0.21
V100	1	0.13
V1000	1	0.04
V1001	1	0.04
V1002	1	0.04
V1003	1	0.04
V1004	1	0.04
V1005	1	0.04
V1006	1	0.04
V1007	1	0.04
