DC	p.value	variance
DC1	4.78137110063527e-250	6.58
DC3	2.03137917662158e-52	6.14
DC10	9.49611139855174e-50	4.87
DC5	6.50726418273247e-43	5.63
DC15	5.14336398595479e-24	4.44
DC4	5.76314219777524e-17	5.77
DC16	5.84930430112379e-15	4.26
DC17	4.09611263277093e-09	4.21
DC7	0.00048669401657168	5.39
DC12	0.00527325005463609	4.65
DC18	0.0411559061395819	4.11
DC20	0.17237315247613	3.99
DC6	0.341436447446542	5.5
DC11	1	4.79
DC13	1	4.59
DC14	1	4.46
DC19	1	4.08
DC2	1	6.39
DC8	1	5.2
DC9	1	4.96
