DC	p.value	variance
DC1	8.61038237471726e-107	6.58
DC5	9.2146162315611e-33	5.63
DC15	2.04271878608279e-28	4.44
DC3	1.33930645456396e-22	6.14
DC8	4.86211302908305e-22	5.2
DC19	8.68588896335208e-20	4.08
DC11	1.25931064456831e-18	4.79
DC20	1.30720733338604e-16	3.99
DC16	4.55677566265311e-11	4.26
DC18	3.08033359371756e-08	4.11
DC9	8.83437815273701e-05	4.96
DC10	0.000423384206731195	4.87
DC12	0.000725701908704111	4.65
DC4	0.00893490865265717	5.77
DC17	0.0795442229755224	4.21
DC6	0.0912894463166463	5.5
DC13	0.270597349323059	4.59
DC14	1	4.46
DC2	1	6.39
DC7	1	5.39
