DC	p.value	variance
DC1	2.64355278281536e-113	6.58
DC3	3.51253751437329e-101	6.14
DC10	8.55036373980043e-40	4.87
DC5	5.72109152271643e-18	5.63
DC4	1.73976954860423e-11	5.77
DC19	4.69482682503132e-08	4.08
DC8	1.39266347083738e-05	5.2
DC15	0.000101333279222056	4.44
DC16	0.000494203739662601	4.26
DC6	0.00110171454972088	5.5
DC17	0.00151316316880512	4.21
DC7	0.0126246866863297	5.39
DC11	0.0408926610734588	4.79
DC2	0.0875739068176752	6.39
DC9	0.206190071998819	4.96
DC20	0.693470283620493	3.99
DC12	1	4.65
DC13	1	4.59
DC14	1	4.46
DC18	1	4.11
