PC	p.value	variance
PC2	3.3640930227985e-117	2.19
PC9	3.23153505353564e-51	0.21
PC4	8.65248731397091e-31	0.56
PC1	2.78742462239468e-26	75.74
PC37	6.04600451030459e-10	0.05
PC15	2.88522412024447e-09	0.1
PC8	7.34330306249563e-06	0.24
PC7	0.000962084790505786	0.27
PC5	0.0144165968757404	0.51
PC42	0.0651270809895147	0.05
PC20	0.120782497189553	0.08
PC10	0.334574554674865	0.17
PC22	0.481244645464742	0.08
PC317	0.695664950373324	0.01
PC100	1	0.03
PC1000	1	0
PC10000	1	0
PC10001	1	0
PC10002	1	0
PC10003	1	0
PC10004	1	0
PC10005	1	0
PC10006	1	0
PC10007	1	0
PC10008	1	0
