PC	p.value	variance
PC1	1.4045138177411e-114	75.74
PC2	1.17267457839556e-79	2.19
PC5	2.95777685497557e-44	0.51
PC16	3.51402440041101e-30	0.1
PC17	1.90549769926402e-29	0.1
PC9	4.87715078666324e-21	0.21
PC8	1.7516953060394e-11	0.24
PC15	8.90118699357464e-10	0.1
PC24	1.49868173533506e-09	0.07
PC7	8.12730655551345e-07	0.27
PC38	6.34259925758912e-06	0.05
PC22	0.00243710790734161	0.08
PC39	0.0827949462674296	0.05
PC6	0.134392426788549	0.34
PC3	0.291967245564011	1.04
PC371	0.541264704519864	0.01
PC37	0.777270154715168	0.05
PC10	1	0.17
PC100	1	0.03
PC1000	1	0
PC10000	1	0
PC10001	1	0
PC10002	1	0
PC10003	1	0
PC10004	1	0
