PC	p.value	variance
PC2	1.28869937929894e-276	2.19
PC4	3.13904085240956e-33	0.56
PC9	9.41481887758955e-19	0.21
PC37	5.35787627236326e-17	0.05
PC22	1.0141700133375e-10	0.08
PC20	3.46585975446095e-05	0.08
PC24	0.000147040965712337	0.07
PC39	0.0339886233428218	0.05
PC10	0.0815083741681577	0.17
PC42	0.259970849137575	0.05
PC317	0.426385317601643	0.01
PC1	1	75.74
PC100	1	0.03
PC1000	1	0
PC10000	1	0
PC10001	1	0
PC10002	1	0
PC10003	1	0
PC10004	1	0
PC10005	1	0
PC10006	1	0
PC10007	1	0
PC10008	1	0
PC10009	1	0
PC1001	1	0
