DC	p.value	variance
DC4	7.60629861054325e-87	1.06
DC6	3.78899122589836e-39	0.56
DC2	1.31621888286652e-22	2.5
DC3	2.43587411027297e-14	1.99
DC1	3.26853947395499e-13	3.96
DC9	1.58049166510101e-11	0.08
DC12	3.86689628661832e-07	0.05
DC7	0.00348037947765414	0.34
DC10	0.0184392250326611	0.08
DC17	0.925817257303874	0.01
DC100	1	0.04
DC1000	1	0.12
DC1001	1	0.12
DC1002	1	0.12
DC1003	1	0.12
DC1004	1	0.12
DC1005	1	0.12
DC1006	1	0.12
DC1007	1	0.12
DC1008	1	0.12
DC1009	1	0.12
DC101	1	0.04
DC1010	1	0.12
DC1011	1	0.12
DC1012	1	0.12
