DC	p.value	variance
DC10	7.34384777306673e-17	0.08
DC9	1.12155775412323e-12	0.08
DC16	5.26000498180503e-10	0.01
DC11	5.47134492224753e-10	0.06
DC13	1.06668126200392e-07	0.04
DC8	6.97040804755123e-06	0.15
DC17	0.000167211203215197	0.01
DC5	0.00483710882324072	0.71
DC1	0.00519347880198863	3.96
DC14	0.0164298394426614	0.03
DC6	0.222673287648725	0.56
DC2	0.542693818129695	2.5
DC7	0.980256847332045	0.34
DC100	1	0.04
DC1000	1	0.12
DC1001	1	0.12
DC1002	1	0.12
DC1003	1	0.12
DC1004	1	0.12
DC1005	1	0.12
DC1006	1	0.12
DC1007	1	0.12
DC1008	1	0.12
DC1009	1	0.12
DC101	1	0.04
