DC	p.value	variance
DC14	2.06260642880385e-11	0.03
DC15	1.81008295421904e-10	0.01
DC12	4.75335156206749e-09	0.05
DC20	1.64359511974009e-07	0
DC9	0.000350702051843969	0.08
DC19	0.00035204974000396	0
DC4	0.0142055019534991	1.06
DC10	0.0241277833264978	0.08
DC18	0.0372585859196081	0
DC3	0.0429316958165598	1.99
DC1	0.517576742532611	3.96
DC100	1	0.04
DC1000	1	0.12
DC1001	1	0.12
DC1002	1	0.12
DC1003	1	0.12
DC1004	1	0.12
DC1005	1	0.12
DC1006	1	0.12
DC1007	1	0.12
DC1008	1	0.12
DC1009	1	0.12
DC101	1	0.04
DC1010	1	0.12
DC1011	1	0.12
