DC	p.value	variance
DC9	3.44215353422737e-32	0.08
DC1	4.33598186862014e-28	3.96
DC10	1.10269717800198e-21	0.08
DC7	8.54758995352184e-17	0.34
DC6	5.18579582780128e-10	0.56
DC4	2.02654629909258e-09	1.06
DC8	3.10333437714139e-09	0.15
DC5	9.51047638617312e-05	0.71
DC12	0.00107688888561497	0.05
DC16	0.0324910090201368	0.01
DC13	0.0732227803424631	0.04
DC100	1	0.04
DC1000	1	0.12
DC1001	1	0.12
DC1002	1	0.12
DC1003	1	0.12
DC1004	1	0.12
DC1005	1	0.12
DC1006	1	0.12
DC1007	1	0.12
DC1008	1	0.12
DC1009	1	0.12
DC101	1	0.04
DC1010	1	0.12
DC1011	1	0.12
