DC	p.value	variance
DC1	7.27622022172219e-12	3.96
DC4	2.36635268911761e-11	1.06
DC9	4.11330883559071e-09	0.08
DC18	9.35623398246035e-07	0
DC3	0.000155432456709667	1.99
DC19	0.000547352659016802	0
DC5	0.000804037360825643	0.71
DC22	0.00182065190267438	0.01
DC23	0.113580051142152	0.01
DC8	0.147689191614403	0.15
DC13	0.193080263774033	0.04
DC12	0.19855582164408	0.05
DC20	0.340114675008079	0
DC37	0.574763093092453	0.02
DC39	0.763807355572631	0.02
DC33	0.935980338672003	0.02
DC10	1	0.08
DC100	1	0.04
DC1000	1	0.12
DC1001	1	0.12
DC1002	1	0.12
DC1003	1	0.12
DC1004	1	0.12
DC1005	1	0.12
DC1006	1	0.12
