DC	p.value	variance
DC5	3.41380248183547e-56	0.71
DC2	1.03363521416022e-12	2.5
DC10	4.55522470628342e-10	0.08
DC6	5.06916237485809e-08	0.56
DC4	4.15274307909645e-06	1.06
DC13	7.2136640668165e-06	0.04
DC7	3.72150622925647e-05	0.34
DC12	0.0273501251237199	0.05
DC19	0.0561789475074721	0
DC3	0.151758043957854	1.99
DC16	0.468838368034724	0.01
DC1	1	3.96
DC100	1	0.04
DC1000	1	0.12
DC1001	1	0.12
DC1002	1	0.12
DC1003	1	0.12
DC1004	1	0.12
DC1005	1	0.12
DC1006	1	0.12
DC1007	1	0.12
DC1008	1	0.12
DC1009	1	0.12
DC101	1	0.04
DC1010	1	0.12
